state,plan_number,daily_hours_required,yearly_attendance,required_subjects
al,1,4,"{""required"":true,""hours"":1080}","[""reading"",""math"",""science"",""social studies"",""language arts""]"
al,2,3,"{""required"":false,""hours"":null}","[]"
ak,1,,"{""required"":false,""hours"":null}","[]"
az,1,4,"{""required"":false,""hours"":null}","[""reading"",""grammar"",""math"",""social studies"",""science""]"
ar,1,,"{""required"":false,""hours"":null}","[]"
ca,1,3.,"{""required"":true,""hours"":175}","[""english"",""math"",""social studies"",""science"",""visual arts"",""health"",""physical education""]"
co,1,4,"{""required"":true,""hours"":172}","[]"
ct,1,,"{""required"":true,""hours"":900}","[""reading"",""writing"",""spelling"",""english grammar"",""geography"",""arithmetic"",""U.S. history"",""government""]"
de,1,,"{""required"":true,""hours"":1000}","[]"
fl,1,4,"{""required"":false,""hours"":null}","[""reading"",""writing"",""mathematics"",""science"",""social studies""]"
ga,1,4.5,"{""required"":true,""hours"":180}","[""reading"",""language arts"",""math"",""social studies"",""science""]"
hi,1,,"{""required"":false,""hours"":null}","[""language arts"",""math"",""social studies"",""science"",""health""]"
id,1,,"{""required"":false,""hours"":null}","[]"
il,1,5,"{""required"":true,""hours"":176}","[""language arts"",""math"",""biological and physical science"",""social sciences"",""fine arts"",""health""]"
in,1,,"{""required"":true,""hours"":180}","[]"
ia,1,,"{""required"":true,""hours"":148}","[""reading"",""language arts"",""math"",""science"",""social studies""]"
ks,1,,"{""required"":true,""hours"":186}","[]"
ky,1,,"{""required"":true,""hours"":1062}","[""reading and writing"",""spelling"",""mathematics"",""social studies"",""science""]"
la,1,,"{""required"":true,""hours"":180}","[]"
me,1,,"{""required"":true,""hours"":175}","[]"
md,1,5,"{""required"":true,""hours"":180}","[""english"",""math"",""science"",""social studies"",""art"",""music"",""health"",""physical education""]"
ma,1,,"{""required"":true,""hours"":900}","[""reading"",""writing"",""english language"",""math"",""geography"",""science"",""history"",""government""]"
mi,1,,"{""required"":true,""hours"":1098}","[""reading"",""spelling"",""math"",""science"",""english grammar"",""civics"",""U.S. history""]"
mn,1,,"{""required"":false,""hours"":null}","[""reading"",""writing"",""literature"",""fine arts"",""math"",""science"",""history"",""geography"",""government"",""health""]"
ms,1,,"{""required"":false,""hours"":null}","[]"
mo,1,4,"{""required"":true,""hours"":1000}","[""reading"",""math"",""social studies"",""english"",""science""]"
mt,1,4,"{""required"":true,""hours"":720}","[]"
ne,1,,"{""required"":true,""hours"":1032}","[""language arts"",""math"",""science"",""social studies"",""health""]"
nv,1,4,"{""required"":true,""hours"":180}","[]"
nh,1,,"{""required"":true,""hours"":945}","[""science"",""math"",""language"",""government"",""history"",""reading"",""writing"",""spelling"",""art"",""health""]"
nj,1,,"{""required"":false,""hours"":null}","[]"
nm,1,5.5,"{""required"":true,""hours"":990}","[""reading"",""language arts"",""math"",""social studies"",""science""]"
ny,1,,"{""required"":true,""hours"":900}","[""math"",""science"",""english"",""social studies"",""art"",""music"",""health"",""physical education""]"
nc,1,,"{""required"":true,""hours"":180}","[]"
nd,1,4,"{""required"":true,""hours"":175}","[""english language arts"",""math"",""social studies"",""science"",""health"",""physical education""]"
oh,1,,"{""required"":true,""hours"":900}","[""language arts"",""geography"",""U.S. and Ohio history"",""government"",""math"",""science"",""health"",""physical education"",""fine arts"",""first aid""]"
ok,1,,"{""required"":true,""hours"":180}","[""reading"",""writing"",""math"",""science"",""citizenship"",""U.S. Constitution"",""health"",""safety"",""physical education"",""conservation""]"
or,1,,"{""required"":false,""hours"":null}","[]"
pa,1,,"{""required"":true,""hours"":900}","[""english"",""math"",""science"",""social studies"",""health"",""physical education"",""art"",""music""]"
ri,1,,"{""required"":true,""hours"":1000}","[""reading"",""writing"",""math"",""geography"",""history"",""science"",""health""]"
sc,1,4.5,"{""required"":true,""hours"":180}","[""reading"",""writing"",""math"",""science"",""social studies""]"
sd,1,,"{""required"":true,""hours"":875}","[""language arts and reading"",""math"",""social studies"",""science""]"
tn,1,4,"{""required"":true,""hours"":180}","[""reading"",""grammar"",""math"",""science"",""social studies""]"
tx,1,,"{""required"":false,""hours"":null}","[""reading"",""spelling"",""grammar"",""math"",""good citizenship""]"
ut,1,,"{""required"":true,""hours"":990}","[]"
vt,1,,"{""required"":true,""hours"":175}","[]"
va,1,4,"{""required"":true,""hours"":180}","[""math"",""science"",""english"",""social studies""]"
wa,1,4,"{""required"":true,""hours"":1000}","[""reading"",""writing"",""spelling"",""math"",""science"",""social studies"",""health"",""art"",""music""]"
wv,1,,"{""required"":true,""hours"":180}","[""english"",""grammar"",""reading"",""social studies"",""science"",""math""]"
wi,1,,"{""required"":true,""hours"":875}","[""reading"",""language arts"",""math"",""social studies"",""science"",""health""]"
wy,1,,"{""required"":true,""hours"":175}","[""reading"",""writing"",""math"",""civics"",""history"",""literature"",""science""]"
